IntermediateZone2001Code,IntermediateZone2001Name
S02000960,Comrie, Gilmerton and St Fillans
S02000961,Gannochy and Walnut Grove
S02000962,Burghmuir and Oakbank
S02000963,Viewlands, Craigie and Wellshill
S02000964,Central, North Inch and South Inch
S02000965,Letham
S02000966,Western Edge
S02000967,Muirton
S02000968,Scone
S02000969,Hillyland, Tulloch and Inveralmond
S02000970,Errol and Inchture
S02000971,North Muirton and Old Scone
S02000972,Guildtown, Balbeggie and St Madoes
S02000973,Invergowrie, Longforgan and Abernyte
S02000974,Luncarty and Dunkeld
S02000975,Stanley and Murthly
S02000976,Coupar Angus and Meigle
S02000977,Blairgowrie West
S02000978,Blairgowrie East (Rattray)
S02000979,Alyth
S02000980,Pitlochry
S02000981,Rannoch and Aberfeldy
S02000982,Blair Atholl, Strathardle and Glenshee
S02000983,Lochwinnoch
S02000984,Renfrewshire Rural South & Howwood
S02000985,Paisley Glenburn West
S02000986,Paisley Glenburn East
S02000987,Paisley Foxbar
S02000988,Johnstone South West
S02000989,Paisley Dykebar
S02000990,Paisley South West
S02000991,Paisley South East
S02000992,Johnstone South East
S02000993,Paisley South
S02000994,Johnstone North West
S02000995,Paisley West
S02000996,Kilbarchan
S02000997,Paisley East
S02000998,Johnstone North East
S02000999,Elderslie and Phoenix
S02001000,Paisley Central
S02001001,Paisley North West
S02001002,Paisley Ralston
S02001003,Paisley Ferguslie
S02001004,Paisley North East
S02001005,Linwood South
S02001006,Linwood North
S02001007,Paisley Gallowhill and Hillington
S02001008,Bridge of Weir
S02001009,Houston South
S02001010,Paisley North
S02001011,Renfrew South
S02001012,Houston North
S02001013,Renfrew East
S02001014,Renfrew West
S02001015,Renfrewshire Rural North and Langbank
S02001016,Renfrew North
S02001017,Erskine East and Inchinnan
S02001018,Erskine Central
S02001019,Erskine West
S02001020,Bishopton
S02001021,Newcastleton and Teviot area
S02001022,Hawick West End
S02001023,Hawick Central
S02001024,Hawick North
S02001025,Cheviot West
S02001026,Burnfoot and area
S02001027,Jedburgh
S02001028,Ettrick, Yarrow and Yair
S02001029,Cheviot East
S02001030,Selkirk
S02001031,St Boswells and Newtown area
S02001032,Kelso South
S02001033,Melrose and Tweedbank area
S02001034,Kelso North
S02001035,Galashiels South
S02001036,Langlee
S02001037,Galashiels West
S02001038,Galashiels North
S02001039,Innerleithen and Walkerburn area
S02001040,West Linton and Broughton area
S02001041,Peebles South
S02001042,Peebles North
S02001043,Coldstream and area
S02001044,Earlston, Lauder and Stow area
S02001045,Berwickshire West
S02001046,Duns
S02001047,Berwickshire Central
S02001048,Berwickshire East
S02001049,Eyemouth
S02001050,Shetland South
S02001051,Lerwick South
S02001052,Lerwick North
S02001053,Central Shetland
S02001054,East and West Mainland
S02001055,North Mainland
S02001056,North and East Isles
S02001057,Carrick South
S02001058,Girvan Glendoune
S02001059,Girvan Ailsa
S02001060,Carrick North
S02001061,Maybole
S02001062,Alloway and Doonfoot
S02001063,Colyton
S02001064,Castlehill and Kincaidston
S02001065,Belmont
S02001066,Holmston and Forehill
S02001067,Ayr South Harbour and Town Centre
S02001068,Dalmilling and Craigie
S02001069,Ayr North Harbour, Wallacetown and Newton South
S02001070,Lochside, Braehead and Whitletts
S02001071,Newton North
S02001072,Heathfield
S02001073,Prestwick East
S02001074,Prestwick West
S02001075,Prestwick Airport and Monkton
S02001076,Annbank, Mossblown and Tarbolton - the Coalfields
S02001077,Troon
S02001078,Muirhead
S02001079,Barassie
S02001080,Dundonald, Loans and Symington
S02001081,Clydesdale South
S02001082,Douglas, Coalburn and Rigside
S02001083,Chapelton, Glengavel and Sandford
S02001084,Lesmahagow
S02001085,Biggar, Symington, Thankerton and Dolphinton
S02001086,Lanark South
S02001087,Hazelbank and Kirkfieldbank
S02001088,Kirkmuirhill and Blackwood
S02001089,Strathaven South
S02001090,Lanark North West
S02001091,Lanark North East
S02001092,Stonehouse
S02001093,Carstairs, Carstairs Junction and Carnwath
S02001094,Strathaven North
S02001095,Ashgill and Netherburn
S02001096,Crossford, Braidwood and Yieldshields
S02001097,Strutherhill
S02001098,Glassford, Quarter and Allanton
S02001099,Carluke South
S02001100,Carluke East
S02001101,Hareleeshill
S02001102,Larkhall Central, Raploch, Millheugh and Burnhead
S02001103,Carluke West
S02001104,Carluke North
S02001105,Crosshouse and Lindsayfield
S02001106,Merryton and Meadowhill
S02001107,Law
S02001108,Whitehills West
S02001109,Greenhills
S02001110,Mossneuk and Newlandsmuir
S02001111,Little Earnock
S02001112,Birniehill, Kelvin and Whitehills East
S02001113,Forth, Braehead and Auchengray
S02001114,Nerston and EK Landward Area
S02001115,Eddlewood
S02001116,Westwood South
S02001117,The Murray
S02001118,Woodhead and Meikle Earnock
S02001119,Low Waters
S02001120,Hairmyres and Westwood West
S02001121,St Leonards South
S02001122,Fairhill
S02001123,Westwood East
S02001124,Thorntonhall, Jackton and Gardenhall
S02001125,West Mains
S02001126,St Leonards North
S02001127,Silvertonhill
S02001128,Earnock
S02001129,Laighstonehall
S02001130,East Mains
S02001131,Stewartfield West
S02001132,Calderwood West and Nerston
S02001133,Burnbank South and Chantinghall
S02001134,Hillhouse
S02001135,Stewartfield East
S02001136,Calderwood Central
S02001137,Burnbank Central and Udston
S02001138,Calderwood East
S02001139,Hamilton Centre and Low Parks
S02001140,High Blantyre
S02001141,Burnbank North
S02001142,Whitehill
S02001143,Blantyre South and Wheatlands
S02001144,Blantytre North and Coatshill
S02001145,Bothwell South
S02001146,Fernhill and Cathkin
S02001147,Bothwell North
S02001148,Whitlawburn and Greenlees
S02001149,Vicarland and Cairns
S02001150,Burnside and Springhall
S02001151,Low Blantyre and Bardykes
S02001152,Spittal
S02001153,Cambuslang Central
S02001154,High Crosshill
S02001155,Uddingston and Gardenside
S02001156,Halfway, Hallside and Drumsagard
S02001157,Westburn and Newton
S02001158,Bankhead South
S02001159,Burgh, Eastfield and Silverbank
S02001160,Burnhill and Bankhead North
S02001161,Shawfield and Clincarthill
S02001162,Farme Cross and Gallowflat North
S02001163,Blane Valley
S02001164,Sauchenford
S02001165,Bannockburn
S02001166,Cambusbarron and Carron Vall
S02001167,Strathendrick
S02001168,Borestone
S02001169,Stirling East
S02001170,Fallin
S02001171,Torbrex
S02001172,Town Centre
S02001173,Forthside
S02001174,Raploch
S02001175,Wallace
S02001176,Western Villages
S02001177,Logie
S02001178,Bridge of Allan
S02001179,Teith Valley
S02001180,Dunblane West
S02001181,Dunblane East
S02001182,Callander
S02001183,Highland
S02001184,IZ One
S02001185,IZ Two
S02001186,IZ Three
S02001187,IZ Four
S02001188,IZ Five
S02001189,IZ Six
S02001190,IZ Seven
S02001191,IZ Eight
S02001192,IZ Nine
S02001193,IZ Ten
S02001194,IZ Eleven
S02001195,IZ Twelve
S02001196,IZ Thirteen
S02001197,IZ Fourteen
S02001198,IZ Fifteen
S02001199,IZ Sixteen
S02001200,IZ Seventeen
S02001201,IZ Eighteen
S02001202,Breich Valley
S02001203,West Calder
S02001204,Fauldhouse
S02001205,Blaeberry Hill
S02001206,Greenrigg
S02001207,Whitburn Central
S02001208,Murieston
S02001209,Oakbank
S02001210,Kirkton
S02001211,Dedridge
S02001212,Blackburn
S02001213,East Calder
S02001214,Howden
S02001215,Blackridge
S02001216,Ladywell
S02001217,Calderwood
S02001218,Craigshill
S02001219,Bathgate West
S02001220,Eliburn
S02001221,Deans
S02001222,Armadale
S02001223,Knightsridge
S02001224,Starlaw
S02001225,Bathgate East
S02001226,Houston
S02001227,Broxburn
S02001228,Westfield
S02001229,Dechmont
S02001230,Uphall
S02001231,Kirkhill
S02001232,Linlithgow South
S02001233,Winchburgh
S02001234,Linlithgow North
S02001235,Linlithgow Bridge
