Postcode,PopulationCount,HouseholdCount,OutputArea2011Code
AB25 3UJ,13,11,S00089676
AB25 2SW,15,9,S00089737
AB25 2TT,8,5,S00089737
AB25 2TG,25,8,S00089793
AB25 2QW,29,14,S00089721
AB25 2WA,68,19,S00089721
AB25 2ZR,2,0,S00089884
AB25 3SN,54,23,S00090323
AB25 3UG,116,86,S00089672
AB25 3SW,11,7,S00090740
AB25 3SL,31,13,S00090740
AB25 2UE,7,3,S00090766
AB25 2UF,18,16,S00090766
AB25 3LH,0,0,S00090330
AB25 2UN,15,9,S00090766
AB25 2UL,0,0,S00090766
AB25 3UE,136,78,S00089675
AB25 3SG,0,0,S00090729
AB25 3UD,49,27,S00090731
AB25 3UZ,55,45,S00090734
AB22 8UH,42,21,S00090118
AB22 8UL,27,13,S00090118
AB22 8SZ,66,26,S00090115
AB11 9LU,48,27,S00089070
AB11 9PN,9,6,S00089070
AB22 8UU,42,11,S00090372
AB22 8UQ,38,16,S00090372
AB22 8NJ,18,6,S00090372
AB22 8SL,61,24,S00090818
AB22 8UD,64,25,S00090107
AB22 8XG,95,30,S00090829
AB22 8UR,62,0,S00090829
AB22 8XU,88,36,S00090911
AB22 8UT,117,58,S00090122
AB11 9LX,2,2,S00090590
AB11 9QG,73,32,S00090590
AB11 9QQ,16,0,S00090590
AB22 8TU,53,24,S00090105
AB22 8TW,65,33,S00090103
AB21 9JU,128,62,S00090190
AB22 8PR,97,39,S00090910
AB22 8SQ,241,79,S00090121
AB22 8SE,30,14,S00090123
AB22 8LY,69,37,S00090123
AB22 8XB,216,69,S00090119
AB22 8SP,73,32,S00090818
AB22 8QY,141,52,S00090120
AB22 8NG,94,29,S00090141
AB22 8LF,90,42,S00090826
AB22 8HU,60,27,S00090130
AB22 8SN,43,21,S00090091
AB23 8EH,84,35,S00090210
AB21 9JT,20,9,S00090371
AB22 8SR,224,71,S00090357
AB22 8ST,89,34,S00090117
AB16 6EG,44,16,S00090784
AB22 8NF,23,17,S00090111
AB24 5NG,73,42,S00089471
AB24 5AL,59,36,S00090719
AB24 3HU,150,13,S00089659
AB11 5RD,0,0,S00090582
AB24 5DN,98,33,S00089466
AB24 1TB,69,43,S00089495
AB21 9TE,3,1,S00090423
AB24 5AR,0,0,S00090717
AB24 1WA,102,47,S00090699
AB24 3HP,45,20,S00089662
AB24 3HD,21,13,S00089662
AB21 0TZ,45,17,S00088966
AB10 1JQ,15,8,S00088986
AB10 1JT,8,4,S00088986
AB24 5ER,50,39,S00090720
AB24 5AQ,0,0,S00090720
AB24 5JF,41,32,S00090437
AB24 3BQ,44,21,S00089484
AB21 9JP,49,20,S00090188
AB24 3JL,85,45,S00089660
AB24 3HB,126,91,S00089661
AB24 5LJ,91,41,S00089464
AB24 5QA,0,0,S00090691
AB24 5BT,42,23,S00089666
AB25 1DP,18,15,S00090534
AB25 1DT,0,0,S00090534
AB24 5LY,22,10,S00089483
AB24 1XX,48,21,S00090441
AB24 1TL,36,16,S00090441
AB25 1LU,33,20,S00090524
AB24 5PP,78,38,S00090684
AB25 1LW,67,57,S00088988
AB25 1HZ,0,0,S00090540
AB24 3JP,72,37,S00089643
AB24 5NU,19,15,S00090682
AB25 1QB,0,0,S00090520
AB24 5NX,63,24,S00089463
AB24 5LE,45,36,S00089461
AB21 0EQ,25,9,S00088965
AB24 5NH,20,10,S00089468
AB24 5NY,43,29,S00089468
AB24 5NN,5,2,S00089468
AB25 1LD,0,0,S00090522
AB25 1PU,40,28,S00090522
AB25 1JY,0,0,S00090522
AB21 9JR,112,60,S00090187
AB11 5AA,58,39,S00089038
AB11 5PN,0,0,S00090582
AB11 6NJ,0,0,S00090582
AB11 5PS,0,0,S00090582
AB11 5RG,0,0,S00090582
AB11 5RA,0,0,S00090582
AB11 5RL,0,0,S00090582
AB11 5PF,0,0,S00090582
AB10 1SB,29,19,S00088978
AB10 1SA,0,0,S00088978
AB10 1SD,3,2,S00088978
AB10 1SL,9,4,S00088978
AB12 3HL,0,0,S00089121
AB12 3LY,0,0,S00089121
AB11 6TG,116,71,S00090562
AB21 0AF,8,0,S00090426
AB24 2EU,18,11,S00089557
AB14 0LTA,19,5,S00088963
AB12 3LN,59,24,S00090404
AB11 6XD,44,32,S00089028
AB11 6JD,62,30,S00089012
AB11 7LG,42,23,S00089012
AB11 7RQ,13,8,S00089012
AB21 0TT,38,18,S00088966
AB11 6QD,51,31,S00090564
AB15 9SA,17,8,S00089412
AB15 9RT,70,23,S00089412
AB15 9HJ,85,36,S00089412
AB24 4DQ,59,28,S00089558
AB24 4DL,55,25,S00089558
AB15 9TP,42,22,S00089407
AB25 3SQ,0,0,S00090739
AB11 5DG,84,48,S00090671
AB11 5HR,22,10,S00090671
AB11 6EN,5,4,S00090575
AB10 1UF,0,0,S00090449
AB24 5PW,7,4,S00090685
AB11 6YU,24,14,S00089027
AB11 5BG,0,0,S00088987
AB10 1BA,35,23,S00090540
AB10 1LU,0,0,S00088994
AB21 0EY,19,10,S00088965
AB11 6SY,83,50,S00089017
AB11 6SS,47,23,S00089014
AB43 8YE,15,7,S00092207
AB33 8PS,21,9,S00091158
AB43 9BE,18,18,S00092161
AB43 8RU,26,10,S00090978
AB43 8RY,12,5,S00090978
AB43 8QB,13,4,S00090978
AB43 8QD,13,4,S00090978
AB43 8QE,6,3,S00090978
AB43 8XG,80,34,S00092049
AB33 8PT,2,1,S00091160
AB33 8PU,6,3,S00091160
AB43 9ED,14,9,S00092133
AB43 9EF,27,15,S00092133
AB43 9EG,36,15,S00092133
AB43 8XF,108,41,S00092050
AB33 8RS,8,3,S00091144
AB33 8RT,5,1,S00091144
AB43 9AW,195,89,S00092163
AB43 9AZ,48,23,S00092165
AB43 8YJ,70,27,S00092210
AB44 1NA,5,4,S00092313
AB44 1NB,46,17,S00092313
AB44 1ND,10,6,S00092313
AB44 1NH,10,3,S00092313
AB43 7TX,2,1,S00090981
AB43 9UW,17,7,S00092204
AB33 8PL,13,6,S00091145
AB33 8PN,1,1,S00091145
AB33 8PP,13,6,S00091145
AB33 8PQ,16,7,S00091145
AB33 8PR,23,10,S00091145
AB43 8RT,8,1,S00090980
AB43 8RX,6,2,S00090980
AB43 8SA,6,3,S00090980
AB43 9DQ,48,17,S00092183
AB44 1LE,6,6,S00092091
AB43 9AR,43,28,S00092938
AB43 9EL,39,16,S00092938
AB43 9DZ,48,38,S00092181
AB34 5PU,1,1,S00091418
AB34 5PX,2,1,S00091418
AB43 7TS,9,5,S00090976
AB43 7TT,28,8,S00090976
AB43 7TU,13,6,S00090976
AB34 5PP,5,3,S00092417
AB43 9AQ,15,9,S00092185
AB43 9AS,4,1,S00092185
AB43 9AT,7,3,S00092185
AB43 9AU,7,2,S00092185
AB41 8EE,4,1,S00091297
AB41 8EH,4,1,S00091297
AB41 8EN,4,1,S00091297
AB41 8ER,2,1,S00091297
AB44 1NS,31,16,S00092108
AB44 1NX,8,4,S00092108
AB12 5YP,40,15,S00091317
AB23 8YA,35,13,S00091283
AB41 6PL,6,3,S00092523
AB41 6AY,23,7,S00092525
AB44 1PB,6,3,S00092105
AB44 1PS,45,19,S00092105
AB39 3GS,67,20,S00092628
AB51 7HB,8,3,S00091139
AB43 9UF,30,12,S00092135
AB43 9WA,63,24,S00092135
AB43 9WB,82,34,S00092135
AB31 6PL,13,4,S00091378
AB31 6PN,6,1,S00091378
AB31 6PP,4,2,S00091378
AB31 4DA,29,7,S00092580
AB43 8RH,30,10,S00090978
AB39 3GU,43,19,S00091533
AB43 8RG,28,10,S00092049
AB43 8SW,19,9,S00092049
AB43 9WU,24,9,S00092132
AB41 6AN,8,3,S00092976
AB41 6AU,9,4,S00092976
AB41 6AZ,6,3,S00092976
AB44 1PG,21,10,S00092112
AB44 1PW,48,24,S00092112
AB44 1PH,27,12,S00092112
AB51 7EX,7,3,S00091136
AB51 7HA,13,6,S00091136
AB21 0JL,48,19,S00092509
AB44 1PF,14,12,S00092111
AB41 8ED,15,6,S00092394
AB41 8ES,8,2,S00092394
AB43 8RF,11,8,S00092050
AB43 9UT,47,17,S00092905
AB43 9UU,118,46,S00092905
AB39 2BP,7,4,S00091511
AB12 5GP,30,10,S00091320
AB12 5GQ,30,11,S00091320
AB12 5GR,23,9,S00091320
AB44 1QR,3,3,S00092093
AB43 9XE,23,8,S00092971
AB30 1XE,74,29,S00091326
AB33 8SY,3,1,S00091144
AB33 8TA,5,3,S00091144
AB51 5XL,0,0,S00091224
AB45 2JQ,11,5,S00090954
AB45 2JA,4,1,S00090953
AB45 2JB,7,4,S00090953
AB44 1LX,4,3,S00092313
AB44 1NJ,4,2,S00092313
AB44 1NL,29,13,S00092313
AB44 1NN,8,5,S00092313
AB43 6LU,5,3,S00092882
AB41 6AX,67,22,S00092975
AB44 1LT,18,9,S00092088
AB44 1LQ,26,7,S00092088
AB44 1NP,18,11,S00092109
AB44 1NQ,42,22,S00092109
AB44 1NR,4,3,S00092109
AB44 1PA,5,4,S00092109
AB14 0NB,8,3,S00091391
AB31 4BL,7,2,S00091396
AB44 1PU,33,14,S00092110
AB43 8RJ,6,2,S00090980
AB43 9WQ,37,13,S00092904
AB44 1PE,9,2,S00092106
AB43 8QP,7,2,S00092048
AB23 8XL,4,3,S00091284
AB23 8XP,29,11,S00091284
AB23 8XQ,14,8,S00091284
AB44 1LU,9,5,S00092090
AB44 1LR,21,9,S00092090
AB44 1LS,28,11,S00092090
AB44 1LP,98,36,S00092090
AB31 5RA,4,2,S00091394
AB43 9WJ,114,41,S00092902
AB41 6AR,9,3,S00091162
AB43 9UG,125,44,S00092136
AB43 9UH,25,10,S00092137
AB43 9UJ,19,6,S00092137
AB43 9UY,0,0,S00092136
AB43 9WD,39,18,S00092137
AB43 8TF,0,0,S00092144
AB43 8TH,13,6,S00092144
AB44 1LN,22,6,S00092091
AB39 3GX,149,51,S00092625
AB23 8XY,11,6,S00092383
AB39 3GZ,27,9,S00091532
AB21 0JR,51,16,S00092508
AB32 6NH,51,24,S00091643
AB44 1LJ,12,9,S00092086
AB43 9UA,70,34,S00092908
AB43 9UB,40,18,S00092907
AB45 3XU,3,2,S00090957
AB45 3YA,6,2,S00090957
AB39 2BL,54,24,S00091520
AB39 2BN,3,1,S00091520
AB43 9WN,10,4,S00092202
AB45 2EX,19,9,S00090949
AB45 3XS,1,1,S00090956
AB39 3LA,105,53,S00092405
AB44 1QZ,75,31,S00092310
AB12 5GS,11,4,S00091321
AB12 5GX,37,14,S00091321
AB42 1QQ,27,11,S00091914
AB43 8UB,10,5,S00090993
AB43 8UN,2,1,S00090993
AB39 3QR,17,6,S00092573
AB39 3QS,21,6,S00092573
AB39 3RU,55,18,S00092573
AB39 3SA,37,14,S00092573
AB39 2SP,11,5,S00091495
AB39 2SQ,16,6,S00091495
AB52 6YT,22,11,S00092533
AB52 6YU,31,13,S00092533
AB52 6YX,6,3,S00092533
AB39 2JD,48,20,S00091525
AB39 2JF,28,14,S00091525
AB39 2JJ,32,13,S00091525
AB39 2LL,34,28,S00092622
AB39 2JG,10,3,S00092622
AB39 2PJ,2,1,S00092622
AB42 0PG,2,2,S00091016
AB42 4JU,24,9,S00091040
AB34 4ZN,9,5,S00092680
AB34 4ZQ,29,7,S00092680
AB39 2PN,101,30,S00092407
AB30 1FQ,8,5,S00091458
AB39 2JE,10,4,S00091522
AB39 2JL,14,5,S00091522
AB39 3RP,52,21,S00091363
AB51 0DZ,19,7,S00092374
AB39 2GS,28,10,S00091475
AB39 2GU,37,15,S00091475
AB32 6EA,20,6,S00092949
AB32 6EB,20,7,S00092949
AB21 7PR,6,1,S00091109
AB21 7PS,16,4,S00091109
AB21 7PY,2,2,S00091109
AB21 0PX,26,9,S00091109
AB21 0RH,20,7,S00091109
AB21 0RJ,33,13,S00091109
AB21 0RL,13,4,S00091109
AB32 6DB,21,7,S00092688
AB41 8TJ,13,4,S00091043
AB41 8TL,10,5,S00091043
AB34 5HZ,28,10,S00091599
AB43 8RR,12,7,S00090978
AB43 8RS,10,3,S00090978
AB42 0LT,3,1,S00091047
AB30 1NL,21,8,S00091350
AB39 2NN,0,0,S00091524
AB39 2JP,41,19,S00091524
AB39 3RF,117,45,S00091531
AB30 1YD,26,11,S00091334
AB21 0RQ,9,4,S00091107
AB35 5SD,30,13,S00091445
AB35 5SL,3,2,S00091445
AB12 3TP,5,2,S00091311
AB39 2GX,29,15,S00091473
AB35 5YA,6,3,S00091441
AB34 5JE,23,8,S00091423
AB39 2JR,27,14,S00091528
AB39 2NU,12,6,S00091528
AB39 3QW,30,16,S00091539
AB21 0JD,4,2,S00092509
AB21 0JH,9,3,S00092509
AB34 5QG,172,60,S00092669
AB42 4JY,4,1,S00090995
AB42 3DS,29,13,S00091009
AB42 3DU,5,3,S00091009
AB42 0NQ,4,1,S00091015
AB42 0PD,3,1,S00091015
AB41 8SP,15,5,S00091293
AB39 3QU,12,5,S00091366
AB39 3QX,5,2,S00091366
AB39 3QY,8,3,S00091366
AB39 3RS,14,5,S00091366
AB39 3RT,2,1,S00091366
AB39 3SB,5,2,S00091366
AB39 2UH,18,7,S00091369
AB34 5JG,34,33,S00091603
AB42 4EN,4,2,S00092496
AB39 3UN,16,9,S00091536
AB31 4EZ,12,4,S00092222
AB33 8RU,4,1,S00091144
AB54 6DG,4,2,S00091305
AB54 6DH,20,6,S00091305
AB54 6DJ,9,3,S00091305
AB54 6DL,4,2,S00091305
AB51 0EB,10,5,S00091275
AB51 0EE,9,3,S00091275
AB21 0RW,5,2,S00091106
AB21 0QH,2,1,S00091106
AB21 0RP,3,3,S00091106
AB45 2AX,22,9,S00090953
AB45 2HS,14,5,S00090953
AB45 2HT,13,4,S00090953
AB39 2LN,5,3,S00092611
AB39 2WA,70,41,S00091487
AB30 1FE,40,18,S00092596
AB39 3QN,56,21,S00091358
AB39 3QP,6,2,S00091358
AB39 3QQ,16,8,S00091358
AB39 3RB,45,17,S00091358
AB39 2WB,95,43,S00091486
AB39 2WJ,68,24,S00091486
AB42 5PB,8,2,S00091029
AB42 5PD,15,5,S00091029
AB42 4LG,4,2,S00091029
AB35 5SG,22,16,S00091541
AB35 5GH,2,1,S00091541
AB39 3UJ,19,8,S00091371
AB39 2JB,32,12,S00091506
AB35 5SB,23,11,S00091420
AB43 8UY,11,4,S00090982
AB35 5TB,93,40,S00092591
AB39 2JS,35,20,S00091529
AB39 2NT,9,4,S00091529
AB39 2NX,2,1,S00091529
AB39 2PA,13,5,S00091529
AB39 3RR,48,20,S00091361
AB31 4EX,8,3,S00091406
AB31 4EY,0,0,S00091406
AB39 2NW,65,29,S00091489
AB54 6XP,8,4,S00091208
AB43 8UA,23,10,S00090992
AB43 8UG,4,1,S00090992
AB43 8UL,121,47,S00090992
AB21 0HS,15,4,S00091101
AB21 0HT,9,3,S00091101
AB21 0HU,45,21,S00091101
AB33 8RX,11,5,S00091145
AB35 5XQ,3,1,S00091440
AB35 5XS,6,2,S00091440
AB21 0PT,30,12,S00091108
AB39 2HZ,46,24,S00091496
AB21 0RS,5,3,S00092510
AB21 0UL,18,6,S00092510
AB21 0UN,19,6,S00092510
AB21 0UP,20,8,S00092510
AB30 1NT,17,10,S00091353
AB34 5AF,18,6,S00091605
AB43 8RL,8,1,S00090980
AB43 8RN,13,6,S00090980
AB43 8RP,6,3,S00090980
AB41 7LN,3,1,S00091168
AB41 7LQ,6,3,S00091168
AB31 5XE,132,64,S00092635
AB31 4EU,1,1,S00091400
AB34 5JD,30,13,S00092418
AB31 5WA,64,42,S00092220
AB42 4LE,9,6,S00091038
AB42 4LF,6,2,S00091038
AB42 4LH,6,3,S00091038
AB42 4LQ,10,4,S00091038
AB42 4LR,24,7,S00091038
AB33 8LH,23,9,S00091146
AB33 8LL,27,8,S00091146
AB33 8LN,15,6,S00091146
AB33 8LP,12,4,S00091146
AB30 1YA,28,13,S00091337
AB42 4EL,43,21,S00092497
AB31 5XD,118,52,S00091560
AB21 7PU,4,2,S00091110
AB41 7LL,9,4,S00092361
AB34 5AE,13,5,S00091430
AB34 5AG,3,2,S00091430
AB34 5AH,8,3,S00091430
AB34 5AJ,2,2,S00091430
AB34 5AN,2,1,S00091430
AB34 5AP,4,2,S00091430
AB31 6PT,80,31,S00091382
AB43 8UH,34,11,S00090979
AB43 8UJ,4,3,S00090979
AB43 8RQ,12,7,S00090979
AB39 2RJ,11,4,S00091515
AB39 2RN,19,11,S00091515
AB43 7QT,0,0,S00092369
AB43 7SJ,0,0,S00092369
AB39 2NP,38,18,S00091476
AB41 8SX,1,1,S00092396
AB31 5WD,44,13,S00092647
AB33 8HT,5,4,S00091154
AB33 8HX,17,7,S00091154
AB33 8HY,2,1,S00091154
AB33 8JA,11,5,S00091154
AB33 8JB,8,3,S00091154
AB33 8JD,26,10,S00091154
AB39 2WE,42,14,S00091484
AB39 2WL,33,11,S00091484
AB45 2AY,43,17,S00092482
AB30 1XW,0,0,S00091336
AB39 2WD,166,51,S00092621
AB33 8LJ,10,5,S00091147
AB41 8TD,13,4,S00091045
AB41 7LR,15,5,S00091181
AB41 7LS,32,11,S00091181
AB35 5RW,29,17,S00092633
AB41 8TA,33,8,S00091046
AB41 8TE,16,5,S00091046
AB41 8TF,16,8,S00091046
AB41 8TG,10,6,S00091046
AB39 3RG,66,19,S00091532
AB43 8UZ,2,1,S00090994
AB21 0HX,13,6,S00092508
AB21 0JE,30,13,S00092508
AB30 1NW,22,7,S00092565
AB30 1NY,51,20,S00092565
AB30 1QA,4,2,S00091330
AB35 5RU,62,26,S00092926
AB39 2JN,0,0,S00091523
AB39 2PH,5,4,S00091523
AB39 3LD,17,6,S00092406
AB30 1EW,18,6,S00091343
AB32 6AA,46,16,S00092242
AB31 5WT,40,21,S00092219
AB33 8HU,31,12,S00091117
AB41 8NH,2,1,S00092392
AB41 8NJ,4,3,S00092392
AB41 8NL,14,5,S00092392
AB51 0DY,7,3,S00091271
AB34 5QA,1,1,S00091418
AB43 7TR,9,3,S00090976
AB42 0LX,7,2,S00092252
AB42 0LY,5,2,S00092252
AB30 1PB,22,4,S00091354
AB45 3XA,2,1,S00090957
AB45 3XB,13,5,S00090957
AB35 5XD,3,1,S00091443
AB35 5XL,6,3,S00091443
AB35 5RY,7,1,S00091443
AB35 5ST,19,10,S00091443
AB35 5SU,12,6,S00091443
AB41 8TH,10,4,S00091044
AB35 5SR,11,3,S00092590
AB35 5SS,12,6,S00092590
AB35 5SX,6,2,S00092590
AB35 5SY,17,5,S00092590
AB35 5TA,3,2,S00092590
AB35 5YF,12,11,S00092428
AB45 2BA,9,2,S00090949
AB45 2BB,8,3,S00090949
AB39 3RW,205,87,S00092629
AB33 8JF,1,1,S00091155
AB33 8HN,50,19,S00091153
AB33 8HP,3,2,S00091153
AB39 3LG,33,11,S00092403
AB42 4DX,20,10,S00091042
AB42 4JX,1,1,S00091042
AB42 4BD,1,1,S00091033
AB39 2PL,59,19,S00092570
AB39 2PD,83,22,S00092567
AB39 2PE,43,12,S00092567
AB39 2PG,40,12,S00092567
AB34 5QH,68,23,S00092671
AB30 1ES,20,8,S00091340
AB30 1ET,12,5,S00091340
AB30 1EX,9,4,S00091340
AB39 3RN,77,30,S00091362
AB39 2NH,0,0,S00092619
AB54 6DE,8,3,S00091303
AB21 0GE,0,0,S00090255
AB21 0GG,0,0,S00090255
AB21 0GR,0,0,S00090255
AB21 0HP,4,1,S00090255
AB21 0GL,0,0,S00090255
AB10 1BB,4,4,S00088986
AB25 2TF,0,0,S00089736
AB24 3HW,0,0,S00089658
AB11 5AP,80,38,S00090675
AB11 5AQ,0,0,S00090678
AB13 0HW,5,0,S00090314
AB11 6NA,0,0,S00090582
AB11 6LX,0,0,S00090582
AB11 6LT,0,0,S00090582
AB22 8FD,70,32,S00090085
AB22 8BE,45,24,S00090806
AB16 7PP,24,9,S00090068
AB16 6EB,23,9,S00090340
AB24 5NS,0,0,S00089447
AB11 5DX,46,28,S00089442
AB12 3GW,0,0,S00090404
AB21 9EH,94,38,S00090183
AB16 6FD,42,20,S00090784
AB11 5AT,8,5,S00090677
AB11 5AR,17,9,S00090677
AB16 6FA,42,16,S00090341
AB24 5ET,56,26,S00090680
AB24 5EX,73,22,S00090681
AB12 3AD,0,0,S00090597
AB12 3AG,0,0,S00090597
AB12 3AQ,0,0,S00090597
AB12 3AR,0,0,S00090597
AB12 3AS,0,0,S00090597
AB12 3AN,0,0,S00090597
AB11 5DP,0,0,S00089443
AB11 5DN,0,0,S00089443
AB11 5DQ,9,5,S00089443
AB21 9EE,12,7,S00090184
AB22 8BF,47,30,S00090803
AB22 8AY,183,39,S00090803
AB22 8BA,105,60,S00090805
AB16 6FF,73,24,S00090783
AB24 5EG,109,50,S00089446
AB11 5BE,40,22,S00090678
AB11 5ER,85,45,S00090678
AB13 0AP,71,5,S00090399
AB13 0HL,71,28,S00090304
AB24 5EN,0,0,S00089447
AB13 0JS,26,11,S00090382
AB13 0JR,57,20,S00090395
AB16 6EH,107,38,S00090782
AB16 6EJ,87,32,S00090782
AB25 2XE,5,1,S00089884
AB21 9QE,38,35,S00090363
AB15 6WL,58,31,S00089952
AB16 6EF,19,9,S00090783
AB21 9HT,25,12,S00090186
AB12 3DA,2,1,S00089121
AB15 8SA,22,8,S00088957
AB15 8SB,16,5,S00088957
AB22 8AQ,16,7,S00090436
AB15 9NL,48,20,S00090431
AB15 9NT,21,7,S00090431
AB12 3LJ,24,9,S00090404
AB15 8TL,76,23,S00090940
AB15 8PY,13,4,S00090945
AB22 8ND,5,1,S00090911
AB12 3DD,11,3,S00089119
AB12 3JL,10,5,S00089119
AB12 3DE,25,12,S00089119
AB15 9FX,20,7,S00090387
AB21 9HX,3,1,S00090371
AB21 9HZ,44,24,S00090371
AB15 8TA,26,8,S00090315
AB15 8QA,65,25,S00090315
AB15 8PP,16,7,S00088959
AB15 8PN,16,5,S00088959
AB21 9NQ,0,0,S00090370
AB23 8NN,3,1,S00088969
AB12 3JA,12,2,S00089120
AB15 8SJ,11,3,S00090331
AB15 8SD,31,11,S00090331
AB21 9SR,8,3,S00090423
AB41 7DX,36,15,S00091170
AB41 7DY,13,5,S00091170
AB35 5TL,2,1,S00091442
AB42 5EP,2,1,S00092852
AB33 8PW,80,38,S00092710
AB42 5ET,19,7,S00092855
AB33 8FE,10,3,S00091157
AB42 5EG,38,16,S00092857
AB42 5FJ,11,6,S00092857
AB43 8RW,41,17,S00092049
AB32 6TU,132,53,S00092240
AB43 8RZ,34,12,S00092050
AB35 5QF,22,14,S00091540
AB35 5QN,0,0,S00091540
AB32 6TS,2,1,S00091621
AB32 7BA,8,4,S00091288
AB42 5EH,13,8,S00091996
AB42 5FG,55,24,S00091994
AB35 5QB,4,1,S00091541
AB35 5QG,5,3,S00091541
AB35 5QH,40,17,S00091541
AB42 5ER,48,28,S00091987
AB32 6TP,12,4,S00091659
AB32 6TR,0,0,S00091616
AB41 8XN,7,2,S00091045
AB41 8XS,13,3,S00091045
AB41 8XR,8,3,S00091046
AB41 8XT,2,1,S00091046
AB41 8XU,10,4,S00091046
AB35 5TF,14,13,S00091543
AB35 5TE,3,2,S00092590
AB35 5TJ,20,11,S00092590
AB43 8QG,100,50,S00092047
AB42 5EF,27,13,S00091999
AB42 1HE,68,30,S00091937
AB42 1GY,0,0,S00092838
AB43 9BQ,41,13,S00092161
AB42 1GX,107,54,S00092844
AB42 5GF,40,20,S00091997
AB43 9AG,74,31,S00092318
AB51 0FP,27,12,S00091771
AB45 2JG,33,16,S00092309
AB45 2JH,33,19,S00092309
AB43 9BL,0,0,S00092134
AB42 1GW,69,30,S00092296
AB43 9BG,210,93,S00092471
AB41 6AW,68,33,S00091758
AB21 0LE,37,12,S00092697
AB43 9BW,73,34,S00092472
AB21 0LR,43,18,S00092765
AB43 9AD,9,3,S00092182
AB42 1HA,90,32,S00091925
AB21 0LD,28,12,S00092696
AB21 0LF,26,11,S00092696
AB21 0LG,26,9,S00092696
AB45 3YE,14,5,S00092893
AB42 1HB,33,14,S00091924
AB42 1HJ,76,32,S00091938
AB21 0JS,25,6,S00091663
AB42 1HG,12,5,S00091939
AB42 5GG,76,34,S00091989
AB51 5XN,8,4,S00091701
AB42 1HD,60,25,S00091935
AB42 1HL,86,34,S00091935
AB21 0PJ,50,20,S00092764
AB42 1GT,14,4,S00092845
AB42 1GZ,8,3,S00092845
AB43 9AH,6,5,S00092938
AB43 9AJ,27,20,S00092938
AB42 1GU,31,8,S00092291
AB45 2JE,0,0,S00092307
AB43 9BH,0,0,S00092185
AB43 9BN,0,0,S00092185
AB43 9BP,3,2,S00092185
AB43 9BY,24,10,S00092185
AB21 0JU,44,16,S00092333
AB21 0LJ,62,27,S00092338
AB21 0LN,41,12,S00092338
AB21 0XY,67,25,S00092507
AB21 0YB,21,8,S00092507
AB21 0YF,8,4,S00092507
AB51 0GR,30,11,S00092775
AB39 2DE,11,4,S00091495
AB39 2QE,0,0,S00091510
AB32 7BD,10,4,S00092390
AB32 7BL,6,2,S00092390
AB32 7DP,3,2,S00092390
AB32 7DQ,5,3,S00092390
AB42 0NW,145,67,S00091826
AB32 6LB,17,6,S00091646
AB32 6LD,27,8,S00091646
AB32 6LE,32,11,S00091646
AB42 1TG,97,43,S00092841
AB53 8EE,4,1,S00091081
AB53 8EH,0,0,S00091081
AB53 8EJ,21,9,S00091081
AB53 8EL,5,3,S00091081
AB53 8EN,11,4,S00091081
AB21 0YQ,18,6,S00092506
AB39 2PR,112,36,S00092407
AB30 1BQ,63,27,S00091458
AB42 1HP,45,19,S00091937
AB32 7BJ,1,1,S00091287
AB32 6ED,19,7,S00092949
AB32 6EF,23,5,S00092949
AB51 0DW,42,22,S00092265
AB31 4AT,53,20,S00092580
AB31 5EL,19,7,S00091393
AB31 5EP,55,18,S00091393
AB31 5HL,28,9,S00091393
AB31 5HN,11,4,S00091393
AB31 5HQ,19,5,S00091393
AB31 5HR,25,9,S00091393
AB31 4RL,18,7,S00091415
AB31 4RP,5,2,S00091415
AB51 0GP,79,36,S00092774
AB21 0SL,42,33,S00092758
AB53 4BR,63,23,S00092305
AB42 1JF,0,0,S00092295
AB42 4LL,0,0,S00092300
AB35 5PG,55,18,S00092634
AB35 5PH,32,18,S00092634
AB42 0ND,36,15,S00091824
AB35 5PJ,64,24,S00092448
AB35 5PN,0,0,S00092448
AB53 8DQ,14,5,S00091083
AB53 8DR,9,4,S00091083
AB42 0LQ,81,34,S00092275
AB45 1DG,40,22,S00092886
AB21 0NE,22,6,S00092767
AB31 5HS,49,15,S00091548
AB32 6NL,30,11,S00092684
AB42 5FP,35,30,S00091997
AB30 1BG,50,21,S00092431
AB32 6LF,25,7,S00092691
AB42 1JQ,89,14,S00091913
AB53 5XU,19,6,S00091067
AB32 6NA,14,4,S00091630
AB32 6NB,26,12,S00091630
AB42 5GA,13,6,S00091998
AB51 5TJ,38,18,S00091684
AB45 1DH,18,5,S00092077
AB51 3WH,30,15,S00091722
AB51 3WJ,10,8,S00091722
AB44 1QG,11,6,S00092112
AB21 0YR,27,9,S00092509
AB21 0YT,8,4,S00092509
AB21 0YX,2,1,S00092509
AB44 1QH,52,25,S00092111
AB32 6NQ,11,3,S00091645
AB32 6NR,22,7,S00091645
AB33 8HW,34,14,S00092921
AB33 8HZ,34,12,S00092921
AB42 1TB,99,53,S00091957
AB41 6DS,29,10,S00092771
AB41 6DY,2,1,S00092771
AB44 1QP,3,1,S00092092
AB44 1QQ,4,2,S00092092
AB39 3PN,3,1,S00091366
AB39 3PP,15,5,S00091366
AB44 1RF,7,4,S00092093
AB44 1SB,10,4,S00092095
AB42 0LW,19,8,S00091817
AB39 2QD,44,33,S00091516
AB42 0NF,47,20,S00091818
AB33 8SS,20,12,S00091144
AB33 8ST,11,4,S00091144
AB33 8SX,10,6,S00091144
