DetailedCharacteristicSector2011Code,DetailedCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S28000282,EH6 5,EH6 5,S12000036,,
S28000283,EH6 6,EH6 6,S12000036,,
S28000284,EH6 7,EH6 7,S12000036,,
S28000285,EH6 8,EH6 8,S12000036,,
S28000286,EH7 4,EH7 4,S12000036,,
S28000287,EH7 5,EH7 5,S12000036,,
S28000288,EH7 6,EH7 6,S12000036,,
S28000289,EH8 7,EH8 7,S12000036,,
S28000290,EH8 8,EH8 8,S12000036,,
S28000291,EH8 9,EH8 9,S12000036,,
S28000292,EH9 1,EH9 1,S12000036,,
S28000293,EH9 2,EH9 2,S12000036,,
S28000294,EH9 3,EH9 3,S12000036,,
S28000295,FK1 1,FK1 1,S12000014,,
S28000296,FK1 2 (part),FK1 2,S12000014,,
S28000297,FK1 3 (part),FK1 3,S12000014,,
S28000298,FK1 4,FK1 4,S12000014,,
S28000299,FK1 5,FK1 5,S12000014,,
S28000300,FK10 1,FK10 1,S12000005,,
S28000301,FK10 2,FK10 2,S12000005,,
S28000302,FK10 3 (part),FK10 3,S12000005,,
S28000303,FK10 4 (part),FK10 4,S12000005,,
S28000304,FK10 4 (part),FK10 4,S12000015,,
S28000305,FK11 7,FK11 7,S12000005,,
S28000306,FK12 5,FK12 5,S12000005,,
S28000307,FK13 6,FK13 6,S12000005,,
S28000308,FK14 7 (part); KY13 0 (part),FK14 7,S12000005,YES,KY13 0 (part)
S28000309,FK15 0 (part),FK15 0,S12000030,,
S28000310,FK15 9 (part),FK15 9,S12000030,,
S28000311,FK16 6,FK16 6,S12000030,,
S28000312,FK17 8,FK17 8,S12000030,,
S28000313,FK2 0,FK2 0,S12000014,,
S28000314,FK2 7,FK2 7,S12000014,,
S28000315,FK2 8 (part); FK7 7 (part),FK2 8,S12000014,YES,FK7 7 (part)
S28000316,FK2 9,FK2 9,S12000014,,
S28000317,FK20 8 (part); FK18 8; FK19 8 (part); FK21 8 (part),FK20 8,S12000030,YES,FK18 8,FK19 8 (part),FK21 8 (part)
S28000318,FK3 0,FK3 0,S12000014,,
S28000319,FK3 8,FK3 8,S12000014,,
S28000320,FK3 9,FK3 9,S12000014,,
S28000321,FK4 1,FK4 1,S12000014,,
S28000322,FK4 2 (part),FK4 2,S12000014,,
S28000323,FK5 3,FK5 3,S12000014,,
S28000324,FK5 4 (part),FK5 4,S12000014,,
S28000325,FK6 5 (part),FK6 5,S12000014,,
S28000326,FK6 6 (part),FK6 6,S12000014,,
S28000327,FK7 0,FK7 0,S12000030,,
S28000328,FK7 7 (part),FK7 7,S12000030,,
S28000329,FK7 8,FK7 8,S12000030,,
S28000330,FK7 9,FK7 9,S12000030,,
S28000331,FK8 1,FK8 1,S12000030,,
S28000332,FK8 2,FK8 2,S12000030,,
S28000333,FK8 3,FK8 3,S12000030,,
S28000334,FK9 4,FK9 4,S12000030,,
S28000335,FK9 5 (part),FK9 5,S12000030,,
S28000336,G1 1,G1 1,S12000046,,
S28000337,G1 3; G1 4; G2 8,G1 3,S12000046,YES,G1 4,G2 8
S28000338,G1 5,G1 5,S12000046,,
S28000339,G11 5,G11 5,S12000046,,
S28000340,G11 6,G11 6,S12000046,,
S28000341,G11 7,G11 7,S12000046,,
S28000342,G12 0,G12 0,S12000046,,
S28000343,G12 8,G12 8,S12000046,,
S28000344,G12 9,G12 9,S12000046,,
S28000345,G13 1,G13 1,S12000046,,
S28000346,G13 2,G13 2,S12000046,,
S28000347,G13 3,G13 3,S12000046,,
S28000348,G13 4 (part),G13 4,S12000046,,
S28000349,G14 0 (part),G14 0,S12000046,,
S28000350,G14 9,G14 9,S12000046,,
S28000351,G15 6,G15 6,S12000046,,
S28000352,G15 7,G15 7,S12000046,,
S28000353,G15 8,G15 8,S12000046,,
S28000354,G2 4; G2 1; G2 3,G2 4,S12000046,YES,G2 1,G2 3
S28000355,G2 5; G1 2; G2 6; G2 7,G2 5,S12000046,YES,G1 2,G2 6,G2 7
S28000356,G20 0; G61 1 (part),G20 0,S12000046,YES,G61 1 (part)
S28000357,G20 6,G20 6,S12000046,,
S28000358,G20 7,G20 7,S12000046,,
S28000359,G20 8,G20 8,S12000046,,
S28000360,G20 9,G20 9,S12000046,,
S28000361,G21 1; G64 1 (part),G21 1,S12000046,YES,G64 1 (part)
S28000362,G21 2,G21 2,S12000046,,
S28000363,G21 3,G21 3,S12000046,,
S28000364,G21 4,G21 4,S12000046,,
S28000365,G22 5,G22 5,S12000046,,
S28000366,G22 6,G22 6,S12000046,,
S28000367,G22 7,G22 7,S12000046,,
S28000368,G23 5 (part),G23 5,S12000046,,
S28000369,G3 6,G3 6,S12000046,,
S28000370,G3 7,G3 7,S12000046,,
S28000371,G3 8,G3 8,S12000046,,
S28000372,G31 1,G31 1,S12000046,,
