Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01000808,3742
S01000809,3893
S01000810,3683
S01000811,5584
S01000812,1555
S01000813,4481
S01000814,1743
S01000815,0815
S01000816,2093
S01000817,3919
S01000818,4470
S01000819,3312
S01000820,3694
S01000821,3367
S01000822,3984
S01000823,2200
S01000824,4259
S01000825,5043
S01000826,2898
S01000827,4190
S01000828,3466
S01000829,3497
S01000830,3747
S01000831,3100
S01000832,4542
S01000833,3090
S01000834,1862
S01000835,0942
S01000836,0107
S01000837,0464
S01000838,3455
S01000839,3607
S01000840,0510
S01000841,0196
S01000842,4724
S01000843,3678
S01000844,2133
S01000845,4504
S01000846,0466
S01000847,1961
S01000848,4356
S01000849,3041
S01000850,0926
S01000851,5369
S01000852,1176
S01000853,1814
S01000854,1104
S01000855,3198
S01000856,1194
S01000857,2576
S01000858,4734
S01000859,4543
S01000860,0732
S01000861,4561
S01000862,5386
S01000863,2155
S01000864,4520
S01000865,1523
S01000866,0948
S01000867,0517
S01000868,0605
S01000869,0426
S01000870,0853
S01000871,2480
S01000872,3376
S01000873,3682
S01000874,0816
S01000875,4233
S01000876,2866
S01000877,1237
S01000878,6308
S01000879,5331
S01000880,5992
S01000881,1730
S01000882,2548
S01000883,3425
S01000884,4116
S01000885,6154
S01000886,3033
S01000887,3139
S01000888,2526
S01000889,3283
S01000890,1985
S01000891,5456
S01000892,5967
S01000893,5634
S01000894,5527
S01000895,4372
S01000896,5453
S01000897,2542
S01000898,3285
S01000899,1440
S01000900,3721
S01000901,2731
S01000902,5048
S01000903,3268
S01000904,2477
S01000905,3491
S01000906,4382
S01000907,2927
S01000908,3239
S01000909,4346
S01000910,2581
S01000911,4834
S01000912,3969
S01000913,3920
S01000914,4923
S01000915,3426
S01000916,2458
S01000917,3156
S01000918,2724
S01000919,3083
S01000920,3793
S01000921,2552
S01000922,3184
S01000923,2975
S01000924,1546
S01000925,2751
S01000926,2316
S01000927,2045
S01000928,2884
S01000929,0410
S01000930,0198
S01000931,1740
S01000932,2704
S01000933,2482
S01000934,0657
S01000935,2697
S01000936,3226
S01000937,1201
S01000938,2424
S01000939,3461
S01000940,4955
S01000941,1618
S01000942,2732
S01000943,5199
S01000944,3909
S01000945,3593
S01000946,3445
S01000947,2365
S01000948,3602
S01000949,5338
S01000950,3758
S01000951,2948
S01000952,3832
S01000953,5912
S01000954,2867
S01000955,4597
S01000956,1954
S01000957,3467
S01000958,1919
S01000959,4576
S01000960,3137
S01000961,4511
S01000962,2637
S01000963,1785
S01000964,4649
S01000965,0692
S01000966,2306
S01000967,1758
S01000968,3786
S01000969,2184
S01000970,2321
S01000971,1505
S01000972,6126
S01000973,3327
S01000974,5174
S01000975,4508
S01000976,3531
S01000977,4588
S01000978,2799
S01000979,3307
S01000980,2457
S01000981,4848
S01000982,4363
S01000983,2610
S01000984,3450
S01000985,2103
S01000986,2934
S01000987,4090
S01000988,4435
S01000989,4498
S01000990,2925
S01000991,4234
S01000992,3543
S01000993,4109
S01000994,2863
S01000995,6203
S01000996,4137
S01000997,5594
S01000998,2048
S01000999,5797
S01001000,3118
S01001001,3333
S01001002,5028
S01001003,5078
S01001004,6178
S01001005,5691
S01001006,6405
S01001007,1843
S01001008,3809
S01001009,4495
S01001010,1727
S01001011,3549
S01001012,5547
S01001013,4188
S01001014,0529
S01001015,2178
S01001016,2370
S01001017,1657
S01001018,2483
S01001019,0395
S01001020,2124
S01001021,3383
S01001022,1989
S01001023,3776
S01001024,3504
S01001025,4722
S01001026,3735
S01001027,4034
S01001028,1764
S01001029,0474
S01001030,5464
S01001031,2120
S01001032,0636
S01001033,0580
S01001034,0101
S01001035,1289
S01001036,1685
S01001037,0680
S01001038,5403
S01001039,3653
S01001040,3630
S01001041,5031
S01001042,5343
S01001043,5022
S01001044,3835
S01001045,5071
S01001046,3772
S01001047,4966
S01001048,5304
S01001049,2250
S01001050,4360
S01001051,1966
S01001052,1997
S01001053,3926
S01001054,2740
S01001055,3368
S01001056,3244
S01001057,4106
S01001058,3554
S01001059,2222
S01001060,3195
S01001061,4514
S01001062,4215
S01001063,4253
S01001064,4872
S01001065,5158
S01001066,3704
S01001067,3364
S01001068,2967
S01001069,3572
S01001070,3784
S01001071,3874
S01001072,3019
S01001073,3548
S01001074,4616
S01001075,4000
S01001076,3670
S01001077,4009
S01001078,2935
S01001079,4328
S01001080,4337
S01001081,2468
S01001082,4457
S01001083,2538
S01001084,3904
S01001085,2864
S01001086,0857
S01001087,1145
S01001088,0930
S01001089,2760
S01001090,6031
S01001091,5429
S01001092,4988
S01001093,4168
S01001094,5864
S01001095,5354
S01001096,4240
S01001097,5590
S01001098,6455
S01001099,2713
S01001100,2830
S01001101,3158
S01001102,3810
S01001103,5919
S01001104,2038
S01001105,6249
S01001106,5455
S01001107,2453
S01001108,2405
S01001109,2225
S01001110,1557
S01001111,1375
S01001112,3265
S01001113,1694
S01001114,0338
S01001115,2179
S01001116,1882
S01001117,0902
S01001118,3249
S01001119,2632
S01001120,4102
S01001121,0974
S01001122,2105
S01001123,3713
S01001124,2818
S01001125,2506
S01001126,5772
S01001127,3344
S01001128,6016
S01001129,0954
S01001130,2442
S01001131,1393
S01001132,3348
S01001133,3066
S01001134,6363
S01001135,0662
S01001136,0910
S01001137,0998
S01001138,1265
S01001139,1874
S01001140,1026
S01001141,2102
S01001142,5902
S01001143,5167
S01001144,1153
S01001145,2302
S01001146,5608
S01001147,1609
S01001148,5939
S01001149,2403
S01001150,0312
S01001151,0086
S01001152,1234
S01001153,3468
S01001154,6399
S01001155,6110
S01001156,1111
S01001157,5940
S01001158,3096
S01001159,4729
S01001160,1702
S01001161,3038
S01001162,4795
S01001163,0844
S01001164,1035
S01001165,0860
S01001166,0835
S01001167,5241
S01001168,1965
S01001169,0141
S01001170,0342
S01001171,2605
S01001172,0502
S01001173,0780
S01001174,0558
S01001175,0211
S01001176,2327
S01001177,0846
S01001178,1729
S01001179,5756
S01001180,1078
S01001181,5222
S01001182,1373
S01001183,0448
S01001184,4101
S01001185,6012
S01001186,4865
S01001187,0690
S01001188,0526
S01001189,1663
S01001190,5800
S01001191,0884
S01001192,0179
S01001193,4868
S01001194,5581
S01001195,2183
S01001196,0779
S01001197,1184
S01001198,0832
S01001199,0532
S01001200,0093
S01001201,0473
S01001202,0631
S01001203,0320
S01001204,5463
S01001205,4615
S01001206,1569
S01001207,0852
S01001208,0213
S01001209,4725
