LocalCharacteristicSector2011Code,LocalCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S29000250,EH3 6,EH3 6,S12000036,NO,
S29000251,EH3 7,EH3 7,S12000036,NO,
S29000252,EH3 8,EH3 8,S12000036,NO,
S29000253,EH3 9,EH3 9,S12000036,NO,
S29000254,EH30 9 (part),EH30 9,S12000036,NO,
S29000255,EH31 2,EH31 2,S12000010,NO,
S29000256,EH32 0,EH32 0,S12000010,NO,
S29000257,EH32 9,EH32 9,S12000010,NO,
S29000258,EH33 1,EH33 1,S12000010,NO,
S29000259,EH33 2,EH33 2,S12000010,NO,
S29000260,EH34 5,EH34 5,S12000010,NO,
S29000261,EH35 5,EH35 5,S12000010,NO,
S29000262,EH36 5,EH36 5,S12000010,NO,
S29000263,EH37 5 (part),EH37 5,S12000019,NO,
S29000264,EH38 5,EH38 5,S12000026,NO,
S29000265,EH39 4,EH39 4,S12000010,NO,
S29000266,EH39 5,EH39 5,S12000010,NO,
S29000267,EH4 1,EH4 1,S12000036,NO,
S29000268,EH4 2,EH4 2,S12000036,NO,
S29000269,EH4 3,EH4 3,S12000036,NO,
S29000270,EH4 4,EH4 4,S12000036,NO,
S29000271,EH4 5,EH4 5,S12000036,NO,
S29000272,EH4 6,EH4 6,S12000036,NO,
S29000273,EH4 7,EH4 7,S12000036,NO,
S29000274,EH4 8,EH4 8,S12000036,NO,
S29000275,EH40 3,EH40 3,S12000010,NO,
S29000276,EH41 3,EH41 3,S12000010,NO,
S29000277,EH41 4,EH41 4,S12000010,NO,
S29000278,EH42 1,EH42 1,S12000010,NO,
S29000279,EH43 6,EH43 6,S12000026,NO,
S29000280,EH44 6,EH44 6,S12000026,NO,
S29000281,EH45 8,EH45 8,S12000026,NO,
S29000282,EH45 9,EH45 9,S12000026,NO,
S29000283,EH46 7 (part),EH46 7,S12000026,NO,
S29000284,EH46 7 (part),EH46 7,S12000029,NO,
S29000285,EH47 0,EH47 0,S12000040,NO,
S29000286,EH47 7,EH47 7,S12000040,NO,
S29000287,EH47 8,EH47 8,S12000040,NO,
S29000288,EH47 9 (part),EH47 9,S12000040,NO,
S29000289,EH48 1,EH48 1,S12000040,NO,
S29000290,EH48 2,EH48 2,S12000040,NO,
S29000291,EH48 3 (part),EH48 3,S12000044,NO,
S29000292,EH48 3 (part),EH48 3,S12000040,NO,
S29000293,EH48 4,EH48 4,S12000040,NO,
S29000294,EH49 6 (part),EH49 6,S12000014,NO,
S29000295,EH49 6 (part),EH49 6,S12000040,NO,
S29000296,EH49 7 (part),EH49 7,S12000014,NO,
S29000297,EH49 7 (part),EH49 7,S12000040,NO,
S29000298,EH5 1,EH5 1,S12000036,NO,
S29000299,EH5 2,EH5 2,S12000036,NO,
S29000300,EH5 3,EH5 3,S12000036,NO,
S29000301,EH51 0,EH51 0,S12000014,NO,
